avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ef/ef7aa6fa17369e93e13f4a209bad6aec11913b13_full.jpg,5991.0,False,2017-03-25T07:00:59.480Z,183.0,TW,6182,,heavydirtysoul,https://steamcommunity.com/id/seel711/,6866.0,207983361
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/8d/8d55d1fc7fcc16886d36de5c2da2891f1b5e671e_full.jpg,4992.0,False,,1113.0,,5504,,晓风,https://steamcommunity.com/profiles/76561198232629132/,5513.0,272363404
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/32/32cb92ebb7b3e8228cf3e3286cebeb248ecbb65b_full.jpg,4447.0,False,,770.0,CN,5833,,高手，别问,https://steamcommunity.com/profiles/76561198114316577/,6208.0,154050849
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/e6/e61b41d08bf7e0309c3d2d4b84422862f7e42347_full.jpg,,False,,935.0,CN,5928,,孙策,https://steamcommunity.com/profiles/76561198099134354/,5699.0,138868626
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1c/1ce058c4a832c69a3789552bbbd480dea57c78f6_full.jpg,4192.0,False,,482.0,CN,6120,,12,https://steamcommunity.com/profiles/76561198104486427/,6334.0,144220699
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/58/5868ae662c2872fbfe966b308cbb0733a19ebf37_full.jpg,5258.0,False,,107.0,CN,6704,o'li'lo,做梦,https://steamcommunity.com/profiles/76561198102855134/,8480.0,142589406
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c9/c996c6e42069d4637048560e88592d1f0bdf1c77_full.jpg,5479.0,False,,53.0,,6200,xiaofu,......,https://steamcommunity.com/profiles/76561198095922692/,7379.0,135656964
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/07/075e3236c26cf115568476afe4df97c3b89885e2_full.jpg,5211.0,False,,343.0,CN,6219,shaker,Theshy,https://steamcommunity.com/id/ripuck/,6551.0,173812218
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ed/edeace0d7a8e1c50b0bcdee792a14f41968d829e_full.jpg,4522.0,False,,722.0,CN,6051,,我要当上海贼王,https://steamcommunity.com/profiles/76561198096500905/,6002.0,136235177
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4e/4e3ce0ab6b27cbca90049cabd669b758d30bb130_full.jpg,,False,,507.0,,6004,,欧贝里斯克的巨神兵,https://steamcommunity.com/profiles/76561198281399892/,5829.0,321134164
